Time (Seconds),Current (Amps)
4.320793151855468750e-01,-2.097208100000000003e-05
8.349750041961669922e-01,-1.838799250000000028e-05
1.237594127655029297e+00,-1.561077529999999944e-05
1.640359640121459961e+00,-8.673733699999999492e-06
2.043108940124511719e+00,-2.938696939999999998e-05
2.445772886276245117e+00,-1.854059369999999874e-05
2.849673748016357422e+00,-3.040311569999999927e-05
3.251924514770507812e+00,-2.613979050000000070e-05
3.654507398605346680e+00,-2.008375189999999947e-05
4.057821035385131836e+00,-1.781593280000000036e-05
4.460735559463500977e+00,-3.631559380000000213e-05
4.863891601562500000e+00,-2.013176119999999912e-05
5.266799688339233398e+00,-1.715486879999999933e-05
5.669961452484130859e+00,-2.686959520000000058e-05
6.072365522384643555e+00,-3.753874149999999706e-05
6.474905252456665039e+00,-1.930936700000000157e-05
6.877851009368896484e+00,-2.350628970000000006e-05
7.280566453933715820e+00,-1.520752779999999971e-05
7.684034585952758789e+00,-1.686650080000000142e-05
8.085879564285278320e+00,-2.098595379999999960e-05
8.489885568618774414e+00,-2.114447829999999853e-05
8.893385887145996094e+00,-1.492149800000000057e-05
9.295153379440307617e+00,-2.135740289999999979e-05
9.698548793792724609e+00,-2.430156169999999911e-05
1.010114240646362305e+01,-4.837037149999999893e-06
1.050355005264282227e+01,-2.064318569999999936e-05
1.090665268898010254e+01,-2.864500649999999877e-05
1.130962872505187988e+01,-2.230480850000000022e-05
1.171226906776428223e+01,-3.264505960000000105e-05
1.211477351188659668e+01,-3.306972420000000174e-06
1.251843118667602539e+01,-1.919698149999999871e-05
1.292133569717407227e+01,-2.059486459999999944e-05
1.332426214218139648e+01,-4.818643960000000132e-06
1.372729730606079102e+01,-1.393169450000000075e-05
1.412971019744873047e+01,-2.885216379999999963e-05
1.453279280662536621e+01,-8.463303039999999945e-06
1.493559527397155762e+01,-7.828114180000000680e-06
1.533866095542907715e+01,-2.597799270000000034e-05
1.574162650108337402e+01,-2.208783109999999856e-05
1.614455628395080566e+01,-2.255592250000000020e-05
1.654682254791259766e+01,-1.109960960000000052e-05
1.695047903060913086e+01,-3.085858120000000088e-05
1.735316419601440430e+01,-3.203792810000000190e-05
1.775592327117919922e+01,-1.844223679999999903e-05
1.815991210937500000e+01,-1.745321270000000163e-05
1.856161737442016602e+01,-1.223983200000000015e-05
1.896453785896301270e+01,-3.852963610000000131e-05
1.936800241470336914e+01,-2.928487159999999839e-05
1.977049779891967773e+01,-1.250154540000000002e-05
2.017262434959411621e+01,-2.550896610000000117e-05
2.057656311988830566e+01,-8.423087399999999906e-06
2.097925257682800293e+01,-1.494441160000000017e-05
2.138102293014526367e+01,-9.240025989999999247e-06
2.178461313247680664e+01,-1.296433700000000008e-05
2.218739581108093262e+01,-1.896161090000000001e-05
2.259065365791320801e+01,-2.371703209999999923e-05
2.299342107772827148e+01,-2.078004349999999992e-05
2.339613199234008789e+01,-2.643111999999999979e-05
2.379950881004333496e+01,-2.396315799999999965e-05
2.420273995399475098e+01,-1.060860469999999922e-05
2.460493922233581543e+01,-2.214706350000000026e-05
2.500748372077941895e+01,-1.788514109999999967e-05
2.541096305847167969e+01,-1.513177279999999928e-05
2.581376767158508301e+01,-2.957355129999999832e-05
2.621682858467102051e+01,-1.423596170000000014e-05
2.661982154846191406e+01,-1.885312220000000087e-05
2.702249646186828613e+01,-3.255184659999999771e-05
2.742541885375976562e+01,-1.499990290000000009e-05
2.782789516448974609e+01,-1.279443370000000054e-05
2.823090052604675293e+01,-3.106838829999999750e-05
2.863403367996215820e+01,-1.161633370000000076e-05
2.903702259063720703e+01,-2.552985330000000057e-05
2.943911337852478027e+01,-2.861959889999999852e-05
2.984274339675903320e+01,-2.794512969999999837e-05
3.024542450904846191e+01,-1.821824509999999918e-05
3.064852452278137207e+01,-2.824129139999999858e-05
3.105150103569030762e+01,-1.230857270000000069e-05
3.145353555679321289e+01,-1.568575100000000079e-05
3.185723900794982910e+01,-9.104415119999999392e-06
3.225917649269104004e+01,-2.104752429999999844e-05
3.266258120536804199e+01,-1.590148140000000127e-05
3.306517195701599121e+01,-1.839500679999999847e-05
3.346935129165649414e+01,-9.288191239999999844e-06
3.387106227874755859e+01,-1.518477020000000019e-05
3.427459907531738281e+01,-3.464664489999999943e-05
3.467735028266906738e+01,9.113169849999999525e-07
3.508010673522949219e+01,-2.978226729999999898e-05
3.548236298561096191e+01,-3.003805750000000001e-05
3.588560867309570312e+01,-1.535327059999999841e-05
3.628840041160583496e+01,-2.088385600000000139e-05
3.669207382202148438e+01,-1.552052400000000055e-05
3.709478926658630371e+01,-9.216644810000000537e-06
3.749725866317749023e+01,-1.645125099999999879e-05
3.790033864974975586e+01,-1.404688579999999945e-05
3.830305004119873047e+01,-2.042620830000000108e-05
3.870616436004638672e+01,-8.875435390000000448e-06
3.910892462730407715e+01,-1.543978090000000056e-05
3.951253151893615723e+01,-2.909096360000000160e-05
3.991496086120605469e+01,-1.573204580000000044e-05
4.031745934486389160e+01,-1.788171189999999980e-05
