Time (Seconds),Current (Amps)
4.320793151855468750e-01,5.017575020000000080e-02
8.349750041961669922e-01,5.071958020000000289e-02
1.237594127655029297e+00,5.012620069999999817e-02
1.640359640121459961e+00,5.015883830000000126e-02
2.043108940124511719e+00,5.017620889999999806e-02
2.445772886276245117e+00,5.014887910000000171e-02
2.849673748016357422e+00,4.968997900000000217e-02
3.251924514770507812e+00,4.954950689999999824e-02
3.654507398605346680e+00,4.958921169999999656e-02
4.057821035385131836e+00,4.964580510000000252e-02
4.460735559463500977e+00,4.941758150000000183e-02
4.863891601562500000e+00,4.972765819999999670e-02
5.266799688339233398e+00,5.008727179999999946e-02
5.669961452484130859e+00,3.670961649999999934e-03
6.072365522384643555e+00,1.301711249999999986e-01
6.474905252456665039e+00,6.169162190000000018e-02
6.877851009368896484e+00,6.160450440000000277e-02
7.280566453933715820e+00,6.157345239999999914e-02
7.684034585952758789e+00,6.114394430000000269e-02
8.085879564285278320e+00,3.666167860000000157e-03
8.489885568618774414e+00,3.667218859999999900e-03
8.893385887145996094e+00,3.678876049999999995e-03
9.295153379440307617e+00,3.673034669999999859e-03
9.698548793792724609e+00,1.143081890000000045e-01
1.010114240646362305e+01,5.112004700000000179e-02
1.050355005264282227e+01,5.112797620000000126e-02
1.090665268898010254e+01,5.077881719999999960e-02
1.130962872505187988e+01,5.086400029999999656e-02
1.171226906776428223e+01,5.093876440000000283e-02
1.211477351188659668e+01,5.009246900000000058e-02
1.251843118667602539e+01,5.060097370000000289e-02
1.292133569717407227e+01,5.016141279999999925e-02
1.332426214218139648e+01,5.036642820000000048e-02
1.372729730606079102e+01,5.025753040000000005e-02
1.412971019744873047e+01,5.043685789999999974e-02
1.453279280662536621e+01,5.000704809999999972e-02
1.493559527397155762e+01,5.002742429999999796e-02
1.533866095542907715e+01,4.978060609999999941e-02
1.574162650108337402e+01,1.877305420000000002e-02
1.614455628395080566e+01,3.632408440000000141e-03
1.654682254791259766e+01,7.499124259999999376e-02
1.695047903060913086e+01,6.176283879999999726e-02
1.735316419601440430e+01,6.143046659999999715e-02
1.775592327117919922e+01,6.079446139999999943e-02
1.815991210937500000e+01,6.069445109999999782e-02
1.856161737442016602e+01,6.087930359999999680e-02
1.896453785896301270e+01,6.059746879999999836e-02
1.936800241470336914e+01,6.037185979999999674e-02
1.977049779891967773e+01,6.037870750000000342e-02
2.017262434959411621e+01,6.055267980000000189e-02
2.057656311988830566e+01,6.017471490000000228e-02
2.097925257682800293e+01,6.010445529999999814e-02
2.138102293014526367e+01,6.012351650000000158e-02
2.178461313247680664e+01,5.986860680000000157e-02
2.218739581108093262e+01,5.951321419999999751e-02
2.259065365791320801e+01,5.958268099999999845e-02
2.299342107772827148e+01,5.914596760000000175e-02
2.339613199234008789e+01,3.927556480000000266e-02
2.379950881004333496e+01,3.665973680000000207e-03
2.420273995399475098e+01,3.662963889999999896e-03
2.460493922233581543e+01,3.661741339999999983e-03
2.500748372077941895e+01,3.659759140000000150e-03
2.541096305847167969e+01,6.035472029999999766e-02
2.581376767158508301e+01,5.886388449999999800e-02
2.621682858467102051e+01,5.205550330000000003e-02
2.661982154846191406e+01,9.550467599999999668e-02
2.702249646186828613e+01,5.024057700000000154e-02
2.742541885375976562e+01,5.020417709999999700e-02
2.782789516448974609e+01,4.998839840000000173e-02
2.823090052604675293e+01,4.963574800000000037e-02
2.863403367996215820e+01,3.651480260000000179e-03
2.903702259063720703e+01,8.502134740000000246e-02
2.943911337852478027e+01,5.978050029999999737e-02
2.984274339675903320e+01,5.972915659999999960e-02
3.024542450904846191e+01,5.945326530000000220e-02
3.064852452278137207e+01,5.977644320000000122e-02
3.105150103569030762e+01,3.674111229999999818e-03
3.145353555679321289e+01,5.688733220000000146e-02
3.185723900794982910e+01,4.948692410000000291e-02
3.225917649269104004e+01,4.916427870000000117e-02
3.266258120536804199e+01,4.921351200000000092e-02
3.306517195701599121e+01,4.949869619999999748e-02
3.346935129165649414e+01,4.989556440000000176e-02
3.387106227874755859e+01,4.981892909999999924e-02
3.427459907531738281e+01,4.922444509999999995e-02
3.467735028266906738e+01,4.944587889999999680e-02
3.508010673522949219e+01,3.664735640000000173e-03
3.548236298561096191e+01,6.581697549999999952e-02
3.588560867309570312e+01,6.074996750000000167e-02
3.628840041160583496e+01,6.076686879999999846e-02
3.669207382202148438e+01,6.029908920000000283e-02
3.709478926658630371e+01,5.970017340000000061e-02
3.749725866317749023e+01,5.960553700000000010e-02
3.790033864974975586e+01,5.959298899999999899e-02
3.830305004119873047e+01,5.911855519999999892e-02
3.870616436004638672e+01,5.903876239999999997e-02
3.910892462730407715e+01,6.306358679999999640e-03
3.951253151893615723e+01,3.655339589999999882e-03
3.991496086120605469e+01,5.716405120000000312e-02
4.031745934486389160e+01,5.022826450000000137e-02
